Comment[SystematicName]	Comment[GENE_SYMBOL]	Comment[GENE_NAME]	Comment[CYTOBAND]
ENST00000420710	XLOC_013828		hs|20q13.33
3xSLv1			
NM_014893	NLGN4Y	neuroligin 4, Y-linked	hs|Yq11.221
NM_001080456	ZSCAN5B	zinc finger and SCAN domain containing 5B	hs|19q13.43
THC2622306			hs|20p11.21
A_33_P3415826			hs|5p15.31
NM_152745	NXPH1	neurexophilin 1	hs|7p21.3
TCONS_00014317	XLOC_006476		hs|7q11.21
NM_001001522	TAGLN	transgelin	hs|11q23.3
NM_207582	ERVFRD-1	endogenous retrovirus group FRD, member 1	hs|6p24.2
ENST00000455174	XLOC_002308		hs|2q14.3
NM_013318	PRRC2B	proline-rich coiled-coil 2B	hs|9q34.13
DQ883646			
NM_005067	SIAH2	seven in absentia homolog 2 (Drosophila)	hs|3q25.1
TCONS_00021745	XLOC_010336		hs|13q12.3
TCONS_00010158	XLOC_004624		hs|5q34
NM_000145	FSHR	follicle stimulating hormone receptor	hs|2p16.3
NM_000639	FASLG	Fas ligand (TNF superfamily, member 6)	hs|1q24.3
NM_054028	SLC35G5	solute carrier family 35, member G5	hs|8p23.1
DQ459422			
THC2600290			hs|5q31.1
NM_080659	C11orf52	chromosome 11 open reading frame 52	hs|11q23.1
ENST00000441097	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	hs|9q33.3
NM_175039	ST6GALNAC4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	hs|9q34.11
NM_182728	SLC7A8	solute carrier family 7 (amino acid transporter light chain, L system), member 8	hs|14q11.2
NM_001008237	TTC32	tetratricopeptide repeat domain 32	hs|2p24.1
ENST00000532805	CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1	hs|11p15.2
TCONS_00020953	XLOC_010219		hs|12q24.31
NM_017726	PPP1R14D	protein phosphatase 1, regulatory (inhibitor) subunit 14D	hs|15q15.1
NM_000983	RPL22	ribosomal protein L22	hs|1p36.31
NM_006123	IDS	iduronate 2-sulfatase	hs|Xq28
NM_153235	TXLNB	taxilin beta	hs|6q24.1
NM_001001961	OR13C3	olfactory receptor, family 13, subfamily C, member 3	hs|9q31.1
NR_026647	PWRN2	Prader-Willi region non-protein coding RNA 2	hs|15q11.2
ENST00000416851			hs|10q22.2
NM_015533	DAK	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	hs|11q12.2
TCONS_l2_00013124	XLOC_l2_007060		hs|19q13.31
NR_037597	LOC442028	uncharacterized LOC442028	hs|2q11.1
NM_001023561	ZNF749	zinc finger protein 749	hs|19q13.43
NR_003061	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2	hs|19q13.42
A_33_P3327336			hs|1p33
NM_000089	COL1A2	collagen, type I, alpha 2	hs|7q21.3
NM_153698	C9orf21	chromosome 9 open reading frame 21	hs|9q22.33
NM_016536	ZNF571	zinc finger protein 571	hs|19q13.12
DQ668359			
BC013024	LOC154822	uncharacterized LOC154822	hs|7q36.3
NM_004183	BEST1	bestrophin 1	hs|11q12.3
THC2730649	XLOC_001288		hs|1q44
TCONS_00029049	XLOC_013965		hs|21q22.3
NM_145206	VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	hs|10q25.2
XR_132650	LOC100506694	uncharacterized LOC100506694	hs|19q11
TCONS_l2_00001221	XLOC_l2_000900		hs|1p33
NM_018296	LRRC36	leucine rich repeat containing 36	hs|16q22.1
TCONS_00006678	XLOC_003273		hs|3q24
NM_198709	ARSB	arylsulfatase B	hs|5q14.1
NM_020643	C11orf16	chromosome 11 open reading frame 16	hs|11p15.4
TCONS_00017186	XLOC_007999		hs|Xq11.2
NM_004577	PSPH	phosphoserine phosphatase	hs|7p11.2
NM_021173	POLD4	polymerase (DNA-directed), delta 4	hs|11q13.2
XR_109588	LOC100505851	uncharacterized LOC100505851	hs|19p12
NM_031890	CECR6	cat eye syndrome chromosome region, candidate 6	hs|22q11.1
NR_003921	PMCHL1	pro-melanin-concentrating hormone-like 1, pseudogene	hs|5p14.3
NM_004064	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	hs|12p13.1
DQ883654			
BC063381	XLOC_l2_000001		hs|1p36.33
NM_006459	ERLIN1	ER lipid raft associated 1	hs|10q24.31
ERCC-00043_129			
CR604878			hs|4q12
TCONS_l2_00017234	XLOC_l2_009216		hs|21q22.2
NM_001172435	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	hs|2q21.3
NM_020184	CNNM4	cyclin M4	hs|2q11.2
NR_029383	PAN3-AS1	PAN3 antisense RNA 1 (non-protein coding)	hs|13q12.2
ENST00000437233	XLOC_002172		hs|2p12
DQ668364			
NM_002421	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	hs|11q22.2
NM_015984	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	hs|1q31.2
TCONS_00026830	XLOC_013047		hs|19q13.11
NM_002332	LRP1	low density lipoprotein receptor-related protein 1	hs|12q13.3
BC036215			hs|7q11.21
ENST00000444001			hs|2p16.1
NM_033141	MAP3K9	mitogen-activated protein kinase kinase kinase 9	hs|14q24.2
TCONS_00020858	XLOC_010141		hs|12q21.31
NM_002121	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	hs|6p21.32
NM_001190259	GCET2	germinal center expressed transcript 2	hs|3q13.2
NM_033087	ALG2	asparagine-linked glycosylation 2, alpha-1,3-mannosyltransferase homolog (S. cerevisiae)	hs|9q22.33
NM_181879	LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	hs|19q13.42
TCONS_00014637	XLOC_006730		hs|8p21.3
NM_005520	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	hs|5q35.3
NM_020162	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	hs|17p13.2
ENST00000472842	ARNTL	aryl hydrocarbon receptor nuclear translocator-like	hs|11p15.2
NM_001040429	PCDH17	protocadherin 17	hs|13q21.1
NM_173561	UNC5CL	unc-5 homolog C (C. elegans)-like	hs|6p21.1
NR_027104	LOC285401	uncharacterized LOC285401	hs|3p14.2
NM_001161473	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	hs|11q13.2
NR_037878	LOC100506085	uncharacterized LOC100506085	hs|4q33
NM_014892	SCAF8	SR-related CTD-associated factor 8	hs|6q25.2
TCONS_l2_00018976	XLOC_l2_009979		hs|3q26.1
NM_001039706	C7orf63	chromosome 7 open reading frame 63	hs|7q21.13
3xSLv1			
TCONS_00016048	XLOC_007440		hs|9q22.1
NM_006888	CALM1	calmodulin 1 (phosphorylase kinase, delta)	hs|14q32.11
NM_001828	CLC	Charcot-Leyden crystal protein	hs|19q13.2
NR_002806	FAM13A-AS1	FAM13A antisense RNA 1 (non-protein coding)	hs|4q22.1
NM_015984	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	hs|1q31.2
THC2669225	XLOC_002717		hs|3p12.2
NM_001004727	OR4X2	olfactory receptor, family 4, subfamily X, member 2	hs|11p11.2
NM_007269	STXBP3	syntaxin binding protein 3	hs|1p13.3
A_24_P15502			hs|8q12.3
NR_024009	CN5H6.4	uncharacterized LOC150384	hs|22q13.31
TCONS_00001882	XLOC_001265		hs|1q42.3
ENST00000435805	XLOC_l2_001929		hs|10q11.21
NM_004346	CASP3	caspase 3, apoptosis-related cysteine peptidase	hs|4q35.1
NM_152778	MFSD8	major facilitator superfamily domain containing 8	hs|4q28.2
NM_004808	NMT2	N-myristoyltransferase 2	hs|10p13
TCONS_00028590	XLOC_013614		hs|20q13.33
BC040870	LOC100507254	uncharacterized LOC100507254	hs|6q23.2
NM_006717	SPIN1	spindlin 1	hs|9q22.1
NM_003689	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	hs|1p36.13
NM_003683	RRP1	ribosomal RNA processing 1 homolog (S. cerevisiae)	hs|21q22.3
NM_024624	SMC6	structural maintenance of chromosomes 6	hs|2p24.2
NM_001005353	AK4	adenylate kinase 4	hs|1p31.3
NM_021970	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	hs|4q23
ENST00000380311	DMGDH	dimethylglycine dehydrogenase	hs|5q14.1
NM_004260	RECQL4	RecQ protein-like 4	hs|8q24.3
NM_004499	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	hs|5q35.3
NM_001152	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	hs|Xq24
3xSLv1			
NM_001031695	RBFOX2	RNA binding protein, fox-1 homolog (C. elegans) 2	hs|22q12.3
NM_001039999	FAM83G	family with sequence similarity 83, member G	hs|17p11.2
TCONS_00026908	XLOC_012981		hs|19p13.12
NM_001184768	ARMCX6	armadillo repeat containing, X-linked 6	hs|Xq22.1
DQ883685			
ENST00000417335	XLOC_l2_009219		hs|21q22.2
TCONS_l2_00026766	XLOC_l2_013931		hs|7q21.3
NM_198427	BCAN	brevican	hs|1q23.1
NM_024664	PPCS	phosphopantothenoylcysteine synthetase	hs|1p34.2
NM_000190	HMBS	hydroxymethylbilane synthase	hs|11q23.3
NM_017491	WDR1	WD repeat domain 1	hs|4p16.1
TCONS_l2_00001494	XLOC_l2_001086		hs|1q21.1
NM_004428	EFNA1	ephrin-A1	hs|1q22
NM_145023	CCDC7	coiled-coil domain containing 7	hs|10p11.22
NR_045000	ACTR3BP5	ARP3 actin-related protein 3 homolog B (yeast) pseudogene 5	hs|10p11.1
NM_030904	OR2T1	olfactory receptor, family 2, subfamily T, member 1	hs|1q44
DQ668362			
ENST00000442184	XLOC_005395		hs|6q16.1
TCONS_00017156	XLOC_007958		hs|Xp11.4
NM_017658	KLHL28	kelch-like 28 (Drosophila)	hs|14q21.2
THC2697511	XLOC_008233		
ENST00000455348			hs|14q32.33
XR_109925	LOC100506262	uncharacterized LOC100506262	hs|2q11.2
TCONS_l2_00005193	XLOC_l2_002775		hs|11q23.1
XR_110838	LOC100506161	uncharacterized LOC100506161	hs|1q41
DQ516795			
TCONS_l2_00016966	XLOC_l2_008976		hs|21q11.2
BX091553	XLOC_002725		hs|3p12.1
BC012174			hs|1q32.1
NM_016524	SYT17	synaptotagmin XVII	hs|16p12.3
ENST00000426595	MRPS17	mitochondrial ribosomal protein S17	hs|7p11.2
NM_001195442	LOC100132146	uncharacterized LOC100132146	hs|3p21.31
NM_021023	CFHR3	complement factor H-related 3	hs|1q31.3
TCONS_00025256	XLOC_012590		hs|17q25.3
XR_109697	LOC100506285	uncharacterized LOC100506285	hs|22q11.21
NM_018176	LGI2	leucine-rich repeat LGI family, member 2	hs|4p15.2
NM_004758	BZRAP1	benzodiazapine receptor (peripheral) associated protein 1	hs|17q22
XR_108932	LOC100506304	uncharacterized LOC100506304	hs|9p23
NM_005422	TECTA	tectorin alpha	hs|11q23.3
NM_153700	STRC	stereocilin	hs|15q15.3
NM_004080	DGKB	diacylglycerol kinase, beta 90kDa	hs|7p21.2
NM_014062	NOB1	NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)	hs|16q22.1
NM_005335	HCLS1	hematopoietic cell-specific Lyn substrate 1	hs|3q13.33
NM_021629	GNB4	guanine nucleotide binding protein (G protein), beta polypeptide 4	hs|3q26.33
NM_003550	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	hs|7p22.3
A_33_P3418466			hs|3q22.1
NM_006573	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	hs|13q33.3
NM_004688	NMI	N-myc (and STAT) interactor	hs|2q23.3
BC127755	XLOC_l2_011044		hs|3p12.3
TCONS_00020521	XLOC_009838		hs|12q22
NM_001013615	C1orf190	chromosome 1 open reading frame 190	hs|1p34.1
NM_002312	LIG4	ligase IV, DNA, ATP-dependent	hs|13q33.3
BC033263	XLOC_006925		hs|8q24.21
ENST00000391480			hs|11p15.5
NM_032501	ACSS1	acyl-CoA synthetase short-chain family member 1	hs|20p11.21
ENST00000436605			hs|2q14.3
NM_006007	ZFAND5	zinc finger, AN1-type domain 5	hs|9q21.13
NM_001080506	TMEM150C	transmembrane protein 150C	hs|4q21.22
NM_018711	SVOP	SV2 related protein homolog (rat)	hs|12q24.11
NM_001324	CSTF1	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa	hs|20q13.2
NM_014272	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif, 7	hs|15q25.1
NM_021129	PPA1	pyrophosphatase (inorganic) 1	hs|10q22.1
NM_001009997	C10orf62	chromosome 10 open reading frame 62	hs|10q24.2
A_33_P3259239			hs|20q11.23
NM_000352	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	hs|11p15.1
AK126237			hs|3p21.31
ENST00000508199	XLOC_l2_010636		hs|4p14
NR_026810	FAM106CP	family with sequence similarity 106, member C pseudogene	hs|17p11.2
NM_001174108	ZBED6	zinc finger, BED-type containing 6	hs|1q32.1
NM_138499	PWWP2B	PWWP domain containing 2B	hs|10q26.3
NM_003998	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	hs|4q24
TCONS_00003672	XLOC_001465		hs|2p16.3
A_33_P3390086			hs|3p12.3
XR_108747	LOC100506130	uncharacterized LOC100506130	hs|7p21.1
NM_005225	E2F1	E2F transcription factor 1	hs|20q11.22
ENST00000445350			hs|6q13
NR_003242	PFN1P2	profilin 1 pseudogene 2	hs|1q21.1
THC2625315	XLOC_005220		hs|6p22.1
TCONS_00001408	XLOC_000723		hs|1p36.13
TCONS_00023443	XLOC_011288		hs|15q22.31
TCONS_00026340	XLOC_012690		hs|18q21.31
NM_001145014	RFPL4A	ret finger protein-like 4A	hs|19q13.42
3xSLv1			
NM_002195	INSL4	insulin-like 4 (placenta)	hs|9p24.1
THC2558187	XLOC_l2_013314		hs|7p15.2
NM_002979	SCP2	sterol carrier protein 2	hs|1p32.3
NM_002289	LALBA	lactalbumin, alpha-	hs|12q13.11
NM_001113207	TSTD1	thiosulfate sulfurtransferase (rhodanese)-like domain containing 1	hs|1q23.3
XR_112823	LOC100506631	uncharacterized LOC100506631	hs|6p23
ENST00000345083	SLC45A2	solute carrier family 45, member 2	hs|5p13.2
THC2499666			hs|2q14.1
NM_004775	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	hs|18q12.1
NM_018130	SHQ1	SHQ1 homolog (S. cerevisiae)	hs|3p13
TCONS_00016467	XLOC_007832		hs|9q32
NM_012069	ATP1B4	ATPase, Na+/K+ transporting, beta 4 polypeptide	hs|Xq24
NR_026948	LOC283332	uncharacterized LOC283332	hs|12q13.12
NM_032927	TMEM128	transmembrane protein 128	hs|4p16.3
TCONS_l2_00030583	XLOC_l2_015804		hs|Xq24
ENST00000420825	XLOC_008390		hs|10p14
NM_001139459	CNST	consortin, connexin sorting protein	hs|1q44
TCONS_00006007	XLOC_002632		hs|3p21.31
NM_003612	SEMA7A	semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)	hs|15q24.1
TCONS_l2_00026920	XLOC_l2_014024		hs|7q34
NM_199047	TBPL2	TATA box binding protein like 2	hs|14q22.3
NM_145697	NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	hs|1q23.3
NR_027074	LOC283761	uncharacterized LOC283761	hs|15q26.1
NM_173065	IL28RA	interleukin 28 receptor, alpha (interferon, lambda receptor)	hs|1p36.11
NM_030885	MAP4	microtubule-associated protein 4	hs|3p21.31
NM_005316	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	hs|11p15.1
NM_001201450	FLJ42280	putative uncharacterized protein FLJ42280	hs|7q21.3
NR_002996	SNORA80	small nucleolar RNA, H/ACA box 80	hs|21q22.11
NR_004859	SCAND2	SCAN domain containing 2 pseudogene	hs|15q25.2
TCONS_00019804	XLOC_009603		hs|11q24.3
THC2680667	Q9BVX4		hs|18q21.2
TCONS_l2_00001813	XLOC_l2_001331		hs|1q42.11
NR_002208	MRPL42P5	mitochondrial ribosomal protein L42 pseudogene 5	hs|15q15.1
TCONS_00018420	XLOC_008709		hs|10p15.1
NM_024886	C10orf95	chromosome 10 open reading frame 95	hs|10q24.32
XR_108599	LOC100506329	uncharacterized LOC100506329	hs|5q11.2
ENST00000432973	XLOC_011679		hs|16p12.1
ENST00000437898	LOC100652915		hs|1p36.13
NM_003039	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	hs|1p36.23
A_33_P3311646			hs|7q22.1
THC2619391			hs|11p15.1
NM_001161429	RANBP3L	RAN binding protein 3-like	hs|5p13.2
AB072904			hs|5q13.3
ENST00000491849	XLOC_l2_010258		hs|3p12.1
NR_002751	SNORD41	small nucleolar RNA, C/D box 41	hs|19p13.2
NM_024334	TMEM43	transmembrane protein 43	hs|3p25.1
NM_000089	COL1A2	collagen, type I, alpha 2	hs|7q21.3
XR_109406	LOC100506609	uncharacterized LOC100506609	hs|17q21.33
ENST00000418837	XLOC_l2_013125		hs|6q23.2
NM_000442	PECAM1	platelet/endothelial cell adhesion molecule	hs|17q23.3
NR_027420	LOC389834	ankyrin repeat domain 57 pseudogene	hs|21p11.2
E1A_r60_a22			
NM_001004466	OR10H5	olfactory receptor, family 10, subfamily H, member 5	hs|19p13.12
ERCC-00144_60			
NM_001135196	C10orf71	chromosome 10 open reading frame 71	hs|10q11.23
NM_018137	PRMT6	protein arginine methyltransferase 6	hs|1p13.3
NM_001760	CCND3	cyclin D3	hs|6p21.1
NM_000775	CYP2J2	cytochrome P450, family 2, subfamily J, polypeptide 2	hs|1p32.1
NM_152589	C12orf50	chromosome 12 open reading frame 50	hs|12q21.32
NM_001001872	C14orf37	chromosome 14 open reading frame 37	hs|14q23.1
AK124859	LOC100129846	uncharacterized LOC100129846	hs|8p12
TCONS_00016543	XLOC_007302		hs|9p21.3
ENST00000504050	XLOC_l2_011255		hs|4q28.1
NM_014814	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	hs|3p14.1
NM_014346	TBC1D22A	TBC1 domain family, member 22A	hs|22q13.31
DQ516779			
TCONS_00020975	XLOC_010244		hs|12q24.32
NM_018206	VPS35	vacuolar protein sorting 35 homolog (S. cerevisiae)	hs|16q11.2
ENST00000447405	XLOC_014028		hs|21q21.2
NM_003363	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	hs|3p21.31
ENST00000540599			hs|10q23.31
ENST00000356370			hs|1p36.13
NM_003584	DUSP11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	hs|2p13.1
DQ516744			
NM_000619	IFNG	interferon, gamma	hs|12q15
NM_001032731	OAS2	2'-5'-oligoadenylate synthetase 2, 69/71kDa	hs|12q24.13
NM_153035	TCEANC2	transcription elongation factor A (SII) N-terminal and central domain containing 2	hs|1p32.3
NM_024821	CCDC134	coiled-coil domain containing 134	hs|22q13.2
AF264629			hs|16q23.2
NM_002796	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	hs|1q21.3
ENST00000434437	XLOC_005480		hs|6q23.3
NM_005415	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	hs|2q13
THC2516011	XLOC_l2_015641		hs|Xq28
THC2604051	XLOC_012003		hs|16q22.2
NM_001178020	BEAN1	brain expressed, associated with NEDD4, 1	hs|16q21
NM_080873	ASB11	ankyrin repeat and SOCS box containing 11	hs|Xp22.2
NM_015225	PRUNE2	prune homolog 2 (Drosophila)	hs|9q21.2
NM_018035	ATP5SL	ATP5S-like	hs|19q13.2
A_24_P704878			
TCONS_00028429	XLOC_013779		hs|20q13.13
ERCC-00077_121			
DQ516763			
NM_005211	CSF1R	colony stimulating factor 1 receptor	hs|5q32
NM_024102	WDR77	WD repeat domain 77	hs|1p13.2
NM_001527	HDAC2	histone deacetylase 2	hs|6q21
DQ459412			
ENST00000413941	XLOC_008383		hs|10p14
XR_108933	LOC100506331	uncharacterized LOC100506331	hs|9p22.3
NM_005817	PLIN3	perilipin 3	hs|19p13.3
NR_033768	TMED11P	transmembrane emp24 protein transport domain containing 11, pseudogene	hs|4p16.3
NM_080861	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	hs|16p13.3
ENST00000508395	XLOC_l2_011987		hs|5p13.2
NM_024292	UBL5	ubiquitin-like 5	hs|19p13.2
NM_178861	RNF113B	ring finger protein 113B	hs|13q32.2
NM_199424	WWP2	WW domain containing E3 ubiquitin protein ligase 2	hs|16q22.1
NM_012210	TRIM32	tripartite motif containing 32	hs|9q33.1
NM_001200049	C10orf92	chromosome 10 open reading frame 92	hs|10q26.3
NM_031271	TEX15	testis expressed 15	hs|8p12
NM_182765	HECTD2	HECT domain containing 2	hs|10q23.32
ENST00000542925	XLOC_l2_003293		hs|12p11.21
NR_015342	PCA3	prostate cancer antigen 3 (non-protein coding)	hs|9q21.2
NM_014624	S100A6	S100 calcium binding protein A6	hs|1q21.3
NM_001082575	RBFOX3	RNA binding protein, fox-1 homolog (C. elegans) 3	hs|17q25.3
NM_002952	RPS2	ribosomal protein S2	hs|16p13.3
DQ883650			
NM_147223	NCOA1	nuclear receptor coactivator 1	hs|2p23.3
NM_019018	FAM105A	family with sequence similarity 105, member A	hs|5p15.2
NM_005356	LCK	lymphocyte-specific protein tyrosine kinase	hs|1p35.1
NM_006265	RAD21	RAD21 homolog (S. pombe)	hs|8q24.11
NR_027451	LOC647979	uncharacterized LOC647979	hs|20q11.23
ETG04_27747			
NM_001869	CPA2	carboxypeptidase A2 (pancreatic)	hs|7q32.2
DQ516791			
DQ459424			
NM_001199012	C1orf201	chromosome 1 open reading frame 201	hs|1p36.11
ENST00000522546	COL22A1	collagen, type XXII, alpha 1	hs|8q24.23
ENST00000513179	XLOC_003870	0	hs|4p16.1
ENST00000421114	XLOC_000731		hs|1p36.12
NM_007217	PDCD10	programmed cell death 10	hs|3q26.1
NM_005479	FRAT1	frequently rearranged in advanced T-cell lymphomas	hs|10q24.1
NM_002060	GJA4	gap junction protein, alpha 4, 37kDa	hs|1p34.3
ENST00000507776	XLOC_003824		hs|4q35.2
ENST00000379433	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	hs|6p24.2
ENST00000412174	XLOC_001115		hs|1q25.3
NM_000211	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	hs|21q22.3
NM_012427	KLK5	kallikrein-related peptidase 5	hs|19q13.41
NM_021195	CLDN6	claudin 6	hs|16p13.3
3xSLv1			
NM_001057	TACR2	tachykinin receptor 2	hs|10q22.1
NM_000578	SLC11A1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	hs|2q35
NM_207333	ZNF320	zinc finger protein 320	hs|19q13.41
NM_001040616	LINS	lines homolog (Drosophila)	hs|15q26.3
ENST00000445660	XLOC_004386		hs|5q11.2
NM_001995	ACSL1	acyl-CoA synthetase long-chain family member 1	hs|4q35.1
NM_001486	GCKR	glucokinase (hexokinase 4) regulator	hs|2p23.3
NM_019045	WDR44	WD repeat domain 44	hs|Xq24
NM_001963	EGF	epidermal growth factor	hs|4q25
NM_003795	SNX3	sorting nexin 3	hs|6q21
NM_006393	NEBL	nebulette	hs|10p12.31
NM_181536	PKD1L3	polycystic kidney disease 1-like 3	hs|16q22.2
A_24_P272073			hs|11p13
NM_002667	PLN	phospholamban	hs|6q22.31
NM_023933	FAM173A	family with sequence similarity 173, member A	hs|16p13.3
ENST00000442128			hs|2q11.1
NM_019035	PCDH18	protocadherin 18	hs|4q28.3
AK124544	LOC644841	uncharacterized LOC644841	hs|7q36.3
NM_139312	YME1L1	YME1-like 1 (S. cerevisiae)	hs|10p12.1
NM_005345	HSPA1A	heat shock 70kDa protein 1A	hs|6p21.33
NR_037177	LOC100294145	uncharacterized LOC100294145	hs|6p21.32
NM_001005284	OR9G4	olfactory receptor, family 9, subfamily G, member 4	hs|11q12.1
A_33_P3216200			hs|14q23.2
ENST00000436078	XLOC_002934		hs|3q26.32
TCONS_00004173	XLOC_002013		hs|2p24.1
NM_020349	ANKRD2	ankyrin repeat domain 2 (stretch responsive muscle)	hs|10q24.2
TCONS_00020576	XLOC_009892		hs|12q24.21
A_33_P3401146			hs|Xq12
NM_012472	LRRC6	leucine rich repeat containing 6	hs|8q24.22
NM_000605	IFNA2	interferon, alpha 2	hs|9p21.3
TCONS_00003562	XLOC_001338		hs|2p25.1
NM_001622	AHSG	alpha-2-HS-glycoprotein	hs|3q27.3
XR_132599	LOC100128108	uncharacterized LOC100128108	hs|15q26.3
NM_001080461	UNCX	UNC homeobox	hs|7p22.3
NM_033257	DGCR6L	DiGeorge syndrome critical region gene 6-like	hs|22q11.21
NM_001171080	RBM41	RNA binding motif protein 41	hs|Xq22.3
NR_026773	C6orf123	chromosome 6 open reading frame 123	hs|6q27
ENST00000331730	CDC20B	cell division cycle 20 homolog B (S. cerevisiae)	hs|5q11.2
NM_198315	VWA5A	von Willebrand factor A domain containing 5A	hs|11q24.2
